Long Station Name,Collection Date,EC,Alkalinity,Sacramento X2,Location,Area,WYT,Data
Old River near Rock Slough,6/19/1959,318,76,91.43818578,OMR,Interior,BN,TT
Old River near Rock Slough,6/19/1959,327,73,91.43818578,OMR,Interior,BN,TT
Old River near Rock Slough,7/7/1959,716,74,94.29889644,OMR,Interior,BN,TT
Old River near Rock Slough,7/7/1959,749,73,94.29889644,OMR,Interior,BN,TT
Old River near Rock Slough,7/21/1959,1320,69,95.92495125,OMR,Interior,BN,TT
Old River near Rock Slough,7/21/1959,1740,67,95.92495125,OMR,Interior,BN,TT
Old River near Rock Slough,8/4/1959,1380,67,91.1135463,OMR,Interior,BN,TT
Old River near Rock Slough,8/4/1959,1580,67,91.1135463,OMR,Interior,BN,TT
Old River near Rock Slough,8/18/1959,937,66,93.54824528,OMR,Interior,BN,TT
Old River near Rock Slough,8/18/1959,1000,64,93.54824528,OMR,Interior,BN,TT
Old River near Rock Slough,9/2/1959,644,69,91.96611223,OMR,Interior,BN,TT
Old River near Rock Slough,9/2/1959,621,68,91.96611223,OMR,Interior,BN,TT
Old River near Rock Slough,9/15/1959,486,76,84.58759953,OMR,Interior,BN,TT
Old River near Rock Slough,9/15/1959,509,76,84.58759953,OMR,Interior,BN,TT
Old River near Rock Slough,10/1/1959,396,85,78.11676896,OMR,Interior,D,TT
Old River near Rock Slough,10/1/1959,352,84,78.11676896,OMR,Interior,D,TT
Old River near Rock Slough,10/30/1959,345,85,83.58656463,OMR,Interior,D,TT
Old River near Rock Slough,10/30/1959,281,80,83.58656463,OMR,Interior,D,TT
P8 - San Joaquin River @ Buckley Cove,2/2/1968,650,90,60.82383763,SJRcorridor,Interior,BN,TT
P8 - San Joaquin River @ Buckley Cove,3/22/1968,395,66,57.81297746,SJRcorridor,Interior,BN,TT
P8 - San Joaquin River @ Buckley Cove,10/10/1968,900,155,83.16574214,SJRcorridor,Interior,W,TT
P8 - San Joaquin River @ Buckley Cove,1/23/1969,180,51,48.06579729,SJRcorridor,Interior,W,TT
P8 - San Joaquin River @ Buckley Cove,4/16/1969,200,46,50.10640361,SJRcorridor,Interior,W,TT
P8 - San Joaquin River @ Buckley Cove,7/17/1969,360,64,68.77308425,SJRcorridor,Interior,W,TT
P8 - San Joaquin River @ Buckley Cove,4/3/1973,518,83,56.44372714,SJRcorridor,Interior,AN,TT
P8 - San Joaquin River @ Buckley Cove,5/1/1973,732,102,71.50691023,SJRcorridor,Interior,AN,TT
P8 - San Joaquin River @ Buckley Cove,6/5/1973,390,61,75.03508802,SJRcorridor,Interior,AN,TT
P8 - San Joaquin River @ Buckley Cove,7/2/1973,412,69,83.15487119,SJRcorridor,Interior,AN,TT
P8 - San Joaquin River @ Buckley Cove,7/31/1973,410,102,85.28607593,SJRcorridor,Interior,AN,TT
P8 - San Joaquin River @ Buckley Cove,8/28/1973,415,78,83.35486185,SJRcorridor,Interior,AN,TT
P8 - San Joaquin River @ Buckley Cove,9/25/1973,648,119,73.56187894,SJRcorridor,Interior,AN,TT
P8 - San Joaquin River @ Buckley Cove,10/15/1973,530,98,74.39350789,SJRcorridor,Interior,W,TT
P8 - San Joaquin River @ Buckley Cove,11/13/1973,647,98,72.91115416,SJRcorridor,Interior,W,TT
P8 - San Joaquin River @ Buckley Cove,12/11/1973,600,82,54.96370577,SJRcorridor,Interior,W,TT
P8 - San Joaquin River @ Buckley Cove,1/9/1974,249,62,52.3990248,SJRcorridor,Interior,W,TT
P8 - San Joaquin River @ Buckley Cove,2/6/1974,403,57,51.00464256,SJRcorridor,Interior,W,TT
P8 - San Joaquin River @ Buckley Cove,7/22/1974,289,62,75.62640398,SJRcorridor,Interior,W,TT
