Long Station Name,Collection Date,EC,Br,Sacramento X2,Location,Area,WYT,Data
Rock Slough @ Old River,1/24/1990,962,0.69,79.66720736,OMR,Interior,C,TT
Clifton Court Intake,2/21/1990,472,0.26,80.12996718,OMR,Interior,C,TT
Rock Slough @ Old River,2/23/1990,598,0.37,83.08252588,OMR,Interior,C,TT
Clifton Court Intake,3/20/1990,404,0.22,85.09103604,OMR,Interior,C,TT
Rock Slough @ Old River,3/20/1990,548,0.34,85.09103604,OMR,Interior,C,TT
Rock Slough @ Old River,4/25/1990,864,0.66,87.22990049,OMR,Interior,C,TT
Clifton Court Intake,5/23/1990,654,0.34,90.30188297,OMR,Interior,C,TT
Rock Slough @ Old River,5/23/1990,660,0.42,90.30188297,OMR,Interior,C,TT
Rock Slough @ Old River,6/26/1990,377,0.2,87.03302324,OMR,Interior,C,TT
Clifton Court Intake,6/27/1990,786,0.24,84.4854239,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,7/9/1990,330,0.16,87.6328401,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,7/10/1990,367,0.19,87.75334412,SouthDelta,Interior,C,TT
Old River North of Rock Slough (St 4b),7/10/1990,408,0.25,87.75334412,OMR,Interior,C,TT
Rock Slough @ Old River,7/10/1990,449,0.28,87.75334412,OMR,Interior,C,TT
Middle River at Bacon Island Bridge,7/16/1990,303,0.16,85.00509504,OMR,Interior,C,TT
Rock Slough @ Old River,7/16/1990,441,0.32,85.00509504,OMR,Interior,C,TT
Old River North of Rock Slough (St 4b),7/16/1990,450,0.34,85.00509504,OMR,Interior,C,TT
Grant Line/Fabian/Bell Canals nr Old R.,7/16/1990,777,0.43,85.00509504,SouthDelta,Interior,C,TT
Clifton Court Intake,7/25/1990,457,0.31,87.85147172,OMR,Interior,C,TT
Little Connection Sl. @ Empire Tr.,7/26/1990,160,0.03,86.56430395,SJRcorridor,Interior,C,TT
Middle River at Bacon Island Bridge,7/26/1990,286,0.14,86.56430395,OMR,Interior,C,TT
