Long Station Name,Collection Date,EC,Cl,Sacramento X2,Location,Area,WYT,Data
Old River near Rock Slough,6/19/1959,327,44,91.43818578,OMR,Interior,BN,TT
Old River near Rock Slough,6/19/1959,318,34,91.43818578,OMR,Interior,BN,TT
Old River near Rock Slough,7/7/1959,749,160,94.29889644,OMR,Interior,BN,TT
Old River near Rock Slough,7/7/1959,716,152,94.29889644,OMR,Interior,BN,TT
Old River near Rock Slough,7/21/1959,1740,451,95.92495125,OMR,Interior,BN,TT
Old River near Rock Slough,7/21/1959,1320,329,95.92495125,OMR,Interior,BN,TT
Old River near Rock Slough,8/4/1959,1580,389,91.1135463,OMR,Interior,BN,TT
Old River near Rock Slough,8/4/1959,1380,336,91.1135463,OMR,Interior,BN,TT
Old River near Rock Slough,8/18/1959,1000,225,93.54824528,OMR,Interior,BN,TT
Old River near Rock Slough,8/18/1959,937,125,93.54824528,OMR,Interior,BN,TT
Old River near Rock Slough,9/2/1959,644,132,91.96611223,OMR,Interior,BN,TT
Old River near Rock Slough,9/2/1959,621,126,91.96611223,OMR,Interior,BN,TT
Old River near Rock Slough,9/15/1959,509,92,84.58759953,OMR,Interior,BN,TT
Old River near Rock Slough,9/15/1959,486,87,84.58759953,OMR,Interior,BN,TT
Old River near Rock Slough,10/1/1959,396,54,78.11676896,OMR,Interior,D,TT
Old River near Rock Slough,10/1/1959,352,44,78.11676896,OMR,Interior,D,TT
Old River near Rock Slough,10/30/1959,345,39,83.58656463,OMR,Interior,D,TT
Old River near Rock Slough,10/30/1959,281,29,83.58656463,OMR,Interior,D,TT
P8 - San Joaquin River @ Buckley Cove,2/2/1968,650,112,60.82383763,SJRcorridor,Interior,BN,TT
P8 - San Joaquin River @ Buckley Cove,3/22/1968,395,51,57.81297746,SJRcorridor,Interior,BN,TT
P8 - San Joaquin River @ Buckley Cove,10/10/1968,900,118,83.16574214,SJRcorridor,Interior,W,TT
P8 - San Joaquin River @ Buckley Cove,1/23/1969,180,10,48.06579729,SJRcorridor,Interior,W,TT
P8 - San Joaquin River @ Buckley Cove,4/16/1969,200,20,50.10640361,SJRcorridor,Interior,W,TT
P8 - San Joaquin River @ Buckley Cove,7/17/1969,360,45,68.77308425,SJRcorridor,Interior,W,TT
Old River South of Rock Slough (St 5A),5/4/1972,188,18,82.90410837,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),5/11/1972,228,29,81.24048084,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),5/15/1972,233,31,83.98953334,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),5/25/1972,316,51,82.92814611,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),6/1/1972,343,56,84.59350819,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),6/13/1972,506,94,87.18414193,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),6/21/1972,574,115,86.3335458,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),6/22/1972,676,142,87.68398736,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),6/24/1972,970,224,93.34177705,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),6/24/1972,818,180,93.34177705,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),6/24/1972,627,130,93.34177705,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),6/24/1972,625,131,93.34177705,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),6/25/1972,970,223,93.79838621,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),6/26/1972,700,150,93.98192603,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),6/27/1972,786,154,94.28595728,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),6/28/1972,1400,346,93.50734356,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),6/28/1972,919,208,93.50734356,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),6/28/1972,904,205,93.50734356,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),6/29/1972,1480,371,93.04418194,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),6/29/1972,1010,234,93.04418194,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),6/30/1972,1570,396,92.10107177,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),7/6/1972,1510,376,86.35065233,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),7/6/1972,1340,330,86.35065233,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),7/7/1972,1360,330,86.57993383,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),7/11/1972,1120,287,86.44946351,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),7/11/1972,1120,280,86.44946351,OMR,Interior,BN,TT
P8 - San Joaquin River @ Buckley Cove,4/3/1973,518,56,56.44372714,SJRcorridor,Interior,AN,TT
P8 - San Joaquin River @ Buckley Cove,5/1/1973,732,104,71.50691023,SJRcorridor,Interior,AN,TT
P8 - San Joaquin River @ Buckley Cove,6/5/1973,390,54,75.03508802,SJRcorridor,Interior,AN,TT
P8 - San Joaquin River @ Buckley Cove,7/2/1973,412,54,83.15487119,SJRcorridor,Interior,AN,TT
P8 - San Joaquin River @ Buckley Cove,7/31/1973,410,54,85.28607593,SJRcorridor,Interior,AN,TT
