Long Station Name,Collection Date,EC,K,Sacramento X2,Location,Area,WYT,Data
Old River near Rock Slough,6/19/1959,318,1.9,91.43818578,OMR,Interior,BN,TT
Old River near Rock Slough,6/19/1959,327,1.9,91.43818578,OMR,Interior,BN,TT
Old River near Rock Slough,7/7/1959,716,3.9,94.29889644,OMR,Interior,BN,TT
Old River near Rock Slough,7/7/1959,749,4.1,94.29889644,OMR,Interior,BN,TT
Old River near Rock Slough,7/21/1959,1320,7.3,95.92495125,OMR,Interior,BN,TT
Old River near Rock Slough,7/21/1959,1740,10,95.92495125,OMR,Interior,BN,TT
Old River near Rock Slough,8/4/1959,1380,7.8,91.1135463,OMR,Interior,BN,TT
Old River near Rock Slough,8/4/1959,1580,8,91.1135463,OMR,Interior,BN,TT
Old River near Rock Slough,8/18/1959,937,5.6,93.54824528,OMR,Interior,BN,TT
Old River near Rock Slough,8/18/1959,1000,5.9,93.54824528,OMR,Interior,BN,TT
Old River near Rock Slough,9/2/1959,621,3.7,91.96611223,OMR,Interior,BN,TT
Old River near Rock Slough,9/2/1959,644,3.9,91.96611223,OMR,Interior,BN,TT
Old River near Rock Slough,9/15/1959,486,3,84.58759953,OMR,Interior,BN,TT
Old River near Rock Slough,9/15/1959,509,3.1,84.58759953,OMR,Interior,BN,TT
Old River near Rock Slough,10/1/1959,352,2.4,78.11676896,OMR,Interior,D,TT
Old River near Rock Slough,10/1/1959,396,2.6,78.11676896,OMR,Interior,D,TT
Old River near Rock Slough,10/30/1959,281,2.2,83.58656463,OMR,Interior,D,TT
Old River near Rock Slough,10/30/1959,345,2.5,83.58656463,OMR,Interior,D,TT
P8 - San Joaquin River @ Buckley Cove,2/2/1968,650,5,60.82383763,SJRcorridor,Interior,BN,TT
P8 - San Joaquin River @ Buckley Cove,3/22/1968,395,3.4,57.81297746,SJRcorridor,Interior,BN,TT
P8 - San Joaquin River @ Buckley Cove,10/10/1968,900,7,83.16574214,SJRcorridor,Interior,W,TT
P8 - San Joaquin River @ Buckley Cove,1/23/1969,180,2.6,48.06579729,SJRcorridor,Interior,W,TT
P8 - San Joaquin River @ Buckley Cove,4/16/1969,200,1.8,50.10640361,SJRcorridor,Interior,W,TT
P8 - San Joaquin River @ Buckley Cove,7/17/1969,360,2.7,68.77308425,SJRcorridor,Interior,W,TT
Old River South of Rock Slough (St 5A),1/30/1980,218,1.8,52.74067557,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),2/14/1980,266,1.9,67.64537101,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),2/29/1980,227,2.3,49.08867267,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),3/12/1980,212,1.6,49.22949664,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),3/26/1980,244,1.5,56.84018254,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),4/8/1980,303,1.9,56.38489514,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),4/21/1980,304,2.4,62.47778168,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),5/5/1980,318,2.5,64.64696862,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),5/12/1980,358,2.2,65.43895548,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),5/19/1980,277,1.8,62.05980719,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),5/27/1980,277,1.8,65.09270984,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),6/10/1980,230,1.7,69.27641079,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),6/16/1980,221,1.6,68.91440792,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),6/23/1980,221,1.6,68.0228655,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),6/30/1980,195,1.6,70.47262594,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),7/7/1980,186,1.4,68.25641473,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),7/14/1980,172,1.3,71.65830083,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),7/21/1980,174,1.2,71.80905674,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),7/29/1980,159,1.2,75.15820048,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),8/6/1980,170,1.2,76.44358914,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),8/18/1980,204,1.3,80.02274745,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),9/3/1980,293,1.8,80.90049445,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),9/15/1980,312,2,76.57711741,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),9/26/1980,265,1.6,76.604144,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),10/6/1980,236,1.6,77.15999944,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),10/20/1980,204,1.6,75.79339987,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),11/3/1980,201,1.6,78.34640114,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),11/14/1980,219,1.8,78.251066,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),11/24/1980,225,1.9,79.91615184,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),12/5/1980,220,1.9,81.24381742,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),12/16/1980,205,1.9,70.43542093,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),1/6/1981,209,1.8,79.42709404,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),1/20/1981,227,1.8,84.3665229,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),2/3/1981,325,2.5,59.47117587,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),2/16/1981,279,2.5,68.66305851,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),3/4/1981,263,2.1,75.67405581,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),3/20/1981,294,2.1,75.19545039,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),4/3/1981,360,2.3,60.26052112,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),4/23/1981,226,1.8,75.00542927,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),5/12/1981,269,1.8,80.86307077,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),6/2/1981,232,1.7,75.30547237,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),6/18/1981,243,1.8,80.97126487,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),6/30/1981,287,2,87.70223073,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),7/16/1981,366,2.4,87.76825037,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),8/3/1981,553,3.6,85.40012999,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),8/18/1981,628,3.7,87.20292234,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),9/2/1981,793,4.7,89.4339165,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),9/18/1981,758,4.4,85.78904211,OMR,Interior,D,TT
Old River South of Rock Slough (St 5A),10/14/1981,557,3.5,89.11569229,OMR,Interior,W,TT
