Long Station Name,Collection Date,EC,Na,Sacramento X2,Location,Area,WYT,Data
Old River near Rock Slough,6/19/1959,327,34,91.43818578,OMR,Interior,BN,TT
Old River near Rock Slough,6/19/1959,318,29,91.43818578,OMR,Interior,BN,TT
Old River near Rock Slough,7/7/1959,749,94,94.29889644,OMR,Interior,BN,TT
Old River near Rock Slough,7/7/1959,716,92,94.29889644,OMR,Interior,BN,TT
Old River near Rock Slough,7/21/1959,1740,250,95.92495125,OMR,Interior,BN,TT
Old River near Rock Slough,7/21/1959,1320,192,95.92495125,OMR,Interior,BN,TT
Old River near Rock Slough,8/4/1959,1580,220,91.1135463,OMR,Interior,BN,TT
Old River near Rock Slough,8/4/1959,1380,196,91.1135463,OMR,Interior,BN,TT
Old River near Rock Slough,8/18/1959,1000,132,93.54824528,OMR,Interior,BN,TT
Old River near Rock Slough,8/18/1959,937,127,93.54824528,OMR,Interior,BN,TT
Old River near Rock Slough,9/2/1959,644,79,91.96611223,OMR,Interior,BN,TT
Old River near Rock Slough,9/2/1959,621,78,91.96611223,OMR,Interior,BN,TT
Old River near Rock Slough,9/15/1959,509,60,84.58759953,OMR,Interior,BN,TT
Old River near Rock Slough,9/15/1959,486,57,84.58759953,OMR,Interior,BN,TT
Old River near Rock Slough,10/1/1959,396,40,78.11676896,OMR,Interior,BN,TT
Old River near Rock Slough,10/1/1959,352,34,78.11676896,OMR,Interior,BN,TT
Old River near Rock Slough,10/30/1959,345,34,83.58656463,OMR,Interior,BN,TT
Old River near Rock Slough,10/30/1959,281,24,83.58656463,OMR,Interior,BN,TT
P8 - San Joaquin River @ Buckley Cove,2/2/1968,650,68,60.82383763,SJRcorridor,Interior,BN,TT
P8 - San Joaquin River @ Buckley Cove,3/22/1968,395,42,57.81297746,SJRcorridor,Interior,BN,TT
P8 - San Joaquin River @ Buckley Cove,10/10/1968,900,90,83.16574214,SJRcorridor,Interior,W,TT
P8 - San Joaquin River @ Buckley Cove,1/23/1969,180,10,48.06579729,SJRcorridor,Interior,W,TT
P8 - San Joaquin River @ Buckley Cove,4/16/1969,200,16,50.10640361,SJRcorridor,Interior,W,TT
P8 - San Joaquin River @ Buckley Cove,7/17/1969,360,35,68.77308425,SJRcorridor,Interior,W,TT
Old River South of Rock Slough (St 5A),8/2/1977,1400,193,95.68394653,OMR,Interior,C,TT
Old River South of Rock Slough (St 5A),8/9/1977,1350,185,94.66206153,OMR,Interior,C,TT
Old River South of Rock Slough (St 5A),8/16/1977,1420,203,95.12016685,OMR,Interior,C,TT
Old River South of Rock Slough (St 5A),8/23/1977,1300,188,95.4484552,OMR,Interior,C,TT
Old River South of Rock Slough (St 5A),8/30/1977,1460,213,96.31383784,OMR,Interior,C,TT
Old River South of Rock Slough (St 5A),9/6/1977,1460,213,95.3442764,OMR,Interior,C,TT
Old River South of Rock Slough (St 5A),9/13/1977,1620,215,97.75189249,OMR,Interior,C,TT
Old River South of Rock Slough (St 5A),9/20/1977,1510,216,94.30759826,OMR,Interior,C,TT
Old River South of Rock Slough (St 5A),9/27/1977,1490,220,93.68297047,OMR,Interior,C,TT
Old River South of Rock Slough (St 5A),10/4/1977,1490,220,95.16189775,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),10/11/1977,1440,205,0,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),10/18/1977,1390,190,0,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),10/25/1977,1370,190,98.51353899,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),11/1/1977,1530,220,97.79821424,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),11/8/1977,1500,223,93.6482057,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),11/14/1977,1420,206,97.01418075,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),11/21/1977,1320,186,93.6810691,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),12/7/1977,1300,200,95.92716794,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),12/20/1977,1640,235,89.23499497,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),12/27/1977,1440,213,86.39928373,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),1/3/1978,1030,144,83.7303191,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),1/17/1978,468,56,59.14625574,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),1/31/1978,320,27,59.82498158,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),2/14/1978,419,36,52.74067557,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),2/28/1978,352,28,58.02981941,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),3/9/1978,442,36,51.06449328,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),3/24/1978,437,42,55.92345804,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),4/4/1978,506,53,57.31670008,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),4/14/1978,254,25,52.74067557,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),4/28/1978,237,22,53.14061094,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),5/16/1978,208,19,60.36200235,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),6/6/1978,215,20,66.43085838,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),6/21/1978,189,16,78.00331108,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),7/7/1978,213,19,83.4381986,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),7/24/1978,351,38,85.52855028,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),8/1/1978,426,45,84.62362617,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),8/22/1978,466,59,83.59458748,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),9/1/1978,410,50,81.82001888,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),9/13/1978,439,56,77.695743,OMR,Interior,AN,TT
Old River South of Rock Slough (St 5A),10/5/1978,259,24,75.68522065,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),10/18/1978,198,18,76.6622206,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),11/2/1978,175,15,78.68013722,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),11/16/1978,183,15,78.70570663,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),11/30/1978,185,14,77.51582042,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),12/18/1978,198,15,81.39380513,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),1/3/1979,210,16,81.41949396,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),1/18/1979,381,31,59.76457767,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),2/5/1979,468,49,64.2815478,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),2/20/1979,517,52,61.16117032,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),4/2/1979,417,39,56.30420023,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),4/9/1979,409,41,64.68168078,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),5/7/1979,203,17,74.48111623,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),5/21/1979,178,13,73.19414698,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),7/3/1979,214,19,80.43664007,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),7/19/1979,395,46,82.51114931,OMR,Interior,BN,TT
