Long Station Name,Collection Date,EC,SO4,Sacramento X2,Location,Area,WYT,Data
Old River near Rock Slough,6/19/1959,318,21,91.43818578,OMR,Interior,BN,TT
Old River near Rock Slough,6/19/1959,327,20,91.43818578,OMR,Interior,BN,TT
Old River near Rock Slough,7/7/1959,716,37,94.29889644,OMR,Interior,BN,TT
Old River near Rock Slough,7/7/1959,749,36,94.29889644,OMR,Interior,BN,TT
Old River near Rock Slough,7/21/1959,1740,61,95.92495125,OMR,Interior,BN,TT
Old River near Rock Slough,7/21/1959,1320,56,95.92495125,OMR,Interior,BN,TT
Old River near Rock Slough,8/4/1959,1580,67,91.1135463,OMR,Interior,BN,TT
Old River near Rock Slough,8/4/1959,1380,58,91.1135463,OMR,Interior,BN,TT
Old River near Rock Slough,8/18/1959,937,44,93.54824528,OMR,Interior,BN,TT
Old River near Rock Slough,8/18/1959,1000,42,93.54824528,OMR,Interior,BN,TT
Old River near Rock Slough,9/2/1959,644,28,91.96611223,OMR,Interior,BN,TT
Old River near Rock Slough,9/2/1959,621,26,91.96611223,OMR,Interior,BN,TT
Old River near Rock Slough,9/15/1959,509,25,84.58759953,OMR,Interior,BN,TT
Old River near Rock Slough,9/15/1959,486,21,84.58759953,OMR,Interior,BN,TT
Old River near Rock Slough,10/1/1959,396,20,78.11676896,OMR,Interior,D,TT
Old River near Rock Slough,10/1/1959,352,17,78.11676896,OMR,Interior,D,TT
Old River near Rock Slough,10/30/1959,345,22,83.58656463,OMR,Interior,D,TT
Old River near Rock Slough,10/30/1959,281,15,83.58656463,OMR,Interior,D,TT
P8 - San Joaquin River @ Buckley Cove,2/2/1968,650,68,60.82383763,SJRcorridor,Interior,BN,TT
P8 - San Joaquin River @ Buckley Cove,3/22/1968,395,48,57.81297746,SJRcorridor,Interior,BN,TT
P8 - San Joaquin River @ Buckley Cove,10/10/1968,900,48,83.16574214,SJRcorridor,Interior,W,TT
P8 - San Joaquin River @ Buckley Cove,1/23/1969,180,20,48.06579729,SJRcorridor,Interior,W,TT
P8 - San Joaquin River @ Buckley Cove,4/16/1969,200,12,50.10640361,SJRcorridor,Interior,W,TT
