Long Station Name,Collection Date,EC,TDS,Sacramento X2,Location,Area,WYT,Data
P8 - San Joaquin River @ Buckley Cove,10/10/1968,900,459,83.17,SJRcorridor,Interior,W,TT
P8 - San Joaquin River @ Buckley Cove,1/23/1969,180,124,48.07,SJRcorridor,Interior,W,TT
P8 - San Joaquin River @ Buckley Cove,4/16/1969,200,111,50.11,SJRcorridor,Interior,W,TT
P8 - San Joaquin River @ Buckley Cove,7/17/1969,360,190,68.77,SJRcorridor,Interior,W,TT
Old River South of Rock Slough (St 5A),6/24/1972,970,652,93.34177705,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),6/24/1972,818,478,93.34177705,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),6/24/1972,625,372,93.34177705,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),6/24/1972,627,358,93.34177705,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),6/25/1972,970,446,93.79838621,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),6/26/1972,700,415,93.98192603,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),6/27/1972,786,454,94.28595728,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),6/28/1972,1400,784,93.50734356,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),6/28/1972,904,522,93.50734356,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),6/29/1972,1480,886,93.04418194,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),6/29/1972,1010,561,93.04418194,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),6/30/1972,1570,893,92.10107177,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),7/6/1972,1510,865,86.35065233,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),7/6/1972,1340,746,86.35065233,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),7/11/1972,1120,641,86.44946351,OMR,Interior,BN,TT
Old River South of Rock Slough (St 5A),7/11/1972,1120,632,86.44946351,OMR,Interior,BN,TT
P8 - San Joaquin River @ Buckley Cove,4/3/1973,518,272,56.44,SJRcorridor,Interior,AN,TT
P8 - San Joaquin River @ Buckley Cove,5/1/1973,732,388,71.51,SJRcorridor,Interior,AN,TT
P8 - San Joaquin River @ Buckley Cove,6/5/1973,390,193,75.04,SJRcorridor,Interior,AN,TT
P8 - San Joaquin River @ Buckley Cove,7/2/1973,412,195,83.15,SJRcorridor,Interior,AN,TT
P8 - San Joaquin River @ Buckley Cove,7/31/1973,410,209,85.29,SJRcorridor,Interior,AN,TT
P8 - San Joaquin River @ Buckley Cove,8/28/1973,415,207,83.35,SJRcorridor,Interior,AN,TT
P8 - San Joaquin River @ Buckley Cove,9/25/1973,648,328,73.56,SJRcorridor,Interior,AN,TT
